,FL_NUM,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_ARR_TIME,DEP_DEL15,ARR_DEL15,DEP_DELAY
314,1651,1,17,7,DTW,SEA,2226,1.0,1.0,17.0
315,2005,1,15,5,ATL,DTW,922,0.0,0.0,5.0
316,2134,1,15,5,SEA,ATL,2232,1.0,0.0,17.0
317,2260,1,15,5,SEA,ATL,1838,0.0,0.0,-2.0
318,2309,1,15,5,JFK,ATL,2211,0.0,0.0,-6.0
319,2393,1,15,5,ATL,DTW,2116,0.0,0.0,4.0
320,2442,1,15,5,ATL,JFK,2204,1.0,1.0,34.0
321,2536,1,15,5,MSP,SEA,2125,1.0,0.0,29.0
322,2802,1,15,5,JFK,MSP,1344,0.0,0.0,-1.0
323,2842,1,15,5,MSP,ATL,1649,0.0,0.0,-2.0
324,86,1,16,6,MSP,DTW,1434,0.0,0.0,-2.0
325,325,1,16,6,DTW,ATL,1731,0.0,0.0,1.0
326,2312,1,17,7,MSP,JFK,2147,0.0,0.0,14.0
327,2413,1,17,7,SEA,JFK,1515,0.0,0.0,-2.0
328,2510,1,17,7,ATL,DTW,2249,0.0,0.0,0.0
329,8,1,18,1,MSP,ATL,2105,0.0,0.0,2.0
330,281,1,18,1,DTW,SEA,1100,0.0,0.0,7.0
331,427,1,18,1,JFK,ATL,2003,0.0,0.0,0.0
332,456,1,18,1,JFK,SEA,1020,0.0,1.0,0.0
333,514,1,18,1,ATL,MSP,1354,1.0,1.0,129.0
334,589,1,18,1,MSP,SEA,1100,0.0,0.0,0.0
335,744,1,18,1,MSP,ATL,1334,0.0,0.0,5.0
336,789,1,18,1,SEA,MSP,1837,0.0,0.0,-1.0
337,1096,1,15,5,DTW,MSP,1313,0.0,0.0,-2.0
338,1991,1,16,6,MSP,ATL,853,0.0,0.0,-4.0
339,2074,1,16,6,ATL,MSP,1922,0.0,0.0,0.0
340,2221,1,16,6,MSP,SEA,1537,0.0,0.0,-4.0
341,2350,1,16,6,ATL,JFK,1025,0.0,0.0,0.0
342,2440,1,16,6,SEA,MSP,547,0.0,0.0,-6.0
343,2536,1,16,6,MSP,SEA,2200,0.0,0.0,-5.0
344,2842,1,16,6,MSP,ATL,1646,0.0,0.0,-3.0
345,87,1,17,7,DTW,MSP,1647,0.0,0.0,0.0
346,423,1,17,7,JFK,ATL,1600,0.0,0.0,0.0
347,445,1,17,7,JFK,ATL,2002,0.0,1.0,0.0
348,478,1,17,7,ATL,JFK,1421,0.0,0.0,11.0
349,588,1,17,7,SEA,MSP,1632,0.0,0.0,-1.0
350,744,1,17,7,MSP,ATL,1333,0.0,0.0,-2.0
